SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Wind.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Code1.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Code2.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Code3.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Trun.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_PFeed.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_NFeed.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Push.nstatus_Act
NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

78	420	78	2000	78	20	78	130	78	0	78	210	78	210	78	0
80	420	80	2000	80	20	80	130	80	0	80	210	80	210	80	0
82	420	82	2000	82	20	82	130	82	0	82	210	82	210	82	0
84	420	84	2000	84	20	84	130	84	0	84	210	84	210	84	0
86	420	86	2000	86	20	86	130	86	0	86	210	86	210	86	0
88	420	88	2000	88	20	88	130	88	0	88	210	88	210	88	0
90	420	90	2000	90	20	90	130	90	0	90	210	90	210	90	0
92	420	92	2000	92	20	92	130	92	0	92	210	92	210	92	0
94	420	94	2000	94	20	94	130	94	0	94	210	94	210	94	0
96	420	96	2000	96	20	96	130	96	0	96	210	96	210	96	0
98	420	98	2000	98	20	98	130	98	0	98	210	98	210	98	0
100	420	100	2000	100	20	100	130	100	0	100	210	100	210	100	0
102	420	102	2000	102	20	102	130	102	0	102	210	102	210	102	0
104	420	104	2000	104	20	104	130	104	0	104	210	104	210	104	0
106	420	106	2000	106	20	106	130	106	0	106	210	106	210	106	0
108	420	108	2000	108	20	108	130	108	0	108	210	108	210	108	0
110	420	110	2000	110	20	110	130	110	0	110	210	110	210	110	0
112	420	112	2000	112	20	112	130	112	0	112	210	112	210	112	0
114	420	114	2000	114	20	114	130	114	0	114	210	114	210	114	0
116	420	116	2000	116	20	116	130	116	0	116	210	116	210	116	0
118	420	118	2000	118	20	118	130	118	0	118	210	118	210	118	0
120	420	120	2000	120	20	120	130	120	0	120	210	120	210	120	0
122	420	122	2000	122	20	122	130	122	0	122	210	122	210	122	0
124	420	124	2000	124	20	124	130	124	0	124	210	124	210	124	0
126	420	126	2000	126	20	126	130	126	0	126	210	126	210	126	0
128	420	128	2000	128	20	128	130	128	0	128	210	128	210	128	0
130	420	130	2000	130	20	130	130	130	0	130	210	130	210	130	0
132	420	132	2000	132	20	132	130	132	0	132	210	132	210	132	0
134	420	134	2000	134	20	134	130	134	0	134	210	134	210	134	0
136	420	136	2000	136	20	136	130	136	0	136	210	136	210	136	0
