"TraceType","Continuous"
"TriggerType",""
"SamplePeriod","0:0:10:0:0"
"SampleRate","1"
"ExternalFileStorage","False"
"MaxSamplesPerFile","29999"
"MaxDataSetSize","100"
"TargetDirectory","C:\OMRON\Data\DataTrace\"
"FilePrefix","1#机器时序"

"SampleTimingType","interval"
"TaskName","BaseControl"
"SamplingInterval","1"
"Triggers","False:::"
"PostTriggerDataRatio","100"
"StartOnRun","False"
"EnableRealTimeDisplay","True"
"BehaviorWhenMax","Stop"

"TriggerRecordTime","0"
"StartRawTime","1739181533108760814"
"Index","Date","ClockTime","RawTime","TraceSampID","gSt1Feedingtensionstrap_StateOut.nstatus_Auto:INT","gSt2Feedingandhandling_StateOut.nstatus_Auto:INT","gSt2Feedingandhandling_StateOut.nstatus_Auto_1:INT","gSt2Feedingandhandling_StateOut.nstatus_Auto_2:INT","gSt3FeedingPreposition_StateOut.nstatus_Auto:INT","gSt4Feedingandscraping_StateOut.nstatus_Auto:INT","gSt5FeedScrape_StateOut.nstatus_Auto:INT","gSt6HotpressShaping_StateOut.nstatus_Auto:INT","gSt7FeedingScanning_StateOut.nstatus_Auto:INT","gSt8LoadingNGbox_StateOut.nstatus_Auto:INT","gSt9Feedingpackage_StateOut.nstatus_Auto:INT","gSt10blankingpackage_StateOut.nstatus_Auto:INT","gSt11PackageCart_StateOut[1].nstatus_Auto:INT","gSt11PackageCart_StateOut[2].nstatus_Auto:INT","gSt11PackageCart_StateOut[3].nstatus_Auto:INT","gSt11PackageCart_StateOut[4].nstatus_Auto:INT","gSt11PackageCart_StateOut[5].nstatus_Auto:INT","gSt11PackageCart_StateOut[6].nstatus_Auto:INT","gSt17Cutterstation_StateOut.nstatus_Auto:INT","gSt18Finesealhandling_StateOut.nstatus_Auto:INT","gSt19Fineseal_StateOut.nstatus_Auto:INT","gSt20Fineseal_StateOut.nstatus_Auto:INT","gSt21Weighing_StateOut.nstatus_Auto:INT","gSt22Blankingandhandling_StateOut.nstatus_Auto:INT","gSt23BlankingNGbox_StateOut.nstatus_Auto:INT","gSt24Blankingandscanning_StateOut.nstatus_Auto:INT","gSt25blankingandturning_StateOut.nstatus_Auto:INT","gSt26Blankingtensionstrap_StateOut.nstatus_Auto:INT"
"24","2025-02-10","09:58:53.20","1739181533204759433","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"25","2025-02-10","09:58:53.20","1739181533208755481","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"26","2025-02-10","09:58:53.21","1739181533212767129","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"27","2025-02-10","09:58:53.21","1739181533216755305","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"28","2025-02-10","09:58:53.22","1739181533220768645","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"29","2025-02-10","09:58:53.22","1739181533224748397","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"30","2025-02-10","09:58:53.22","1739181533228765913","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"31","2025-02-10","09:58:53.23","1739181533232754185","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"32","2025-02-10","09:58:53.23","1739181533236757577","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"33","2025-02-10","09:58:53.24","1739181533240755545","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"34","2025-02-10","09:58:53.24","1739181533244764985","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"35","2025-02-10","09:58:53.24","1739181533248753797","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
"36","2025-02-10","09:58:53.25","1739181533252768181","","35","70","20","500","20","20","40","30","10","10","30","40","290","290","60","60","60","60","40","30","60","60","40","30","0","0","30","20"
